# step: historical_baseline
# command: C:\Users\bit11\AppData\Local\Programs\Python\Python311\python.exe D:\energy_conservation\scripts_new\00_main_pipeline\07_full_line_validation_results.py
# ENERGY_TRIP_NO: 1
# ENERGY_TRIP_INDEX: 0
# ENERGY_TARGET_TIME: script default
# ENERGY_RESULTS_DATA_DIR: D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality
# ENERGY_ATO_DATA_DIR: D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality
# ENERGY_LINE_SCOPE: full
# PYTHONIOENCODING: utf-8:replace
# started: 2026-07-03T20:49:26

🚀 开始全线 26 个区间的历史数据验证：第 1 趟车...
历史数据目录: D:\energy_conservation\data\data_processed_step2_v3_all_curve_quality
[01/26] 正在处理: 布政-张家潭 ...
[02/26] 正在处理: 张家潭-同德路 ...
[03/26] 正在处理: 同德路-石碶 ...
[04/26] 正在处理: 石碶-雅渡 ...
[05/26] 正在处理: 雅渡-庙堰 ...
[06/26] 正在处理: 庙堰-钟公庙 ...
[07/26] 正在处理: 钟公庙-鄞州区政府 ...
[08/26] 正在处理: 鄞州区政府-钱湖南路 ...
[09/26] 正在处理: 钱湖南路-南高教园区 ...
[10/26] 正在处理: 南高教园区-下应路 ...
[11/26] 正在处理: 下应路-大洋江 ...
[12/26] 正在处理: 大洋江-泗港 ...
[13/26] 正在处理: 泗港-曹隘 ...
[14/26] 正在处理: 曹隘-柳隘 ...
[15/26] 正在处理: 柳隘-海晏北路 ...
[16/26] 正在处理: 海晏北路-民安东路 ...
[17/26] 正在处理: 民安东路-会展中心 ...
[18/26] 正在处理: 会展中心-院士路 ...
[19/26] 正在处理: 院士路-盎孟港 ...
[20/26] 正在处理: 盎孟港-三官堂 ...
[21/26] 正在处理: 三官堂-兴庄路 ...
[22/26] 正在处理: 兴庄路-兴海南路 ...
[23/26] 正在处理: 兴海南路-梅堰 ...
[24/26] 正在处理: 梅堰-永茂路 ...
[25/26] 正在处理: 永茂路-镇海大道 ...
[26/26] 正在处理: 镇海大道-骆驼桥 ...


============================================================
🔥 5号线全线 26 区间验证结果汇总
============================================================
      站间区间  历史运行时间(s)  历史实测能耗(Wh)  历史能耗(Wh)     物理占比         残差占比  误差(%)
    布政-张家潭     117.50    13559.42  13109.88 13119.45    -9.570000  -3.32
   张家潭-同德路     150.85    18515.56  17917.49 17039.95   877.539978  -3.23
    同德路-石碶     110.95    14539.57  14037.02 13872.46   164.559998  -3.46
     石碶-雅渡      78.75    12360.41  12213.85 12322.53  -108.669998  -1.19
     雅渡-庙堰     133.90    20522.66  19173.05 18719.70   453.350006  -6.58
    庙堰-钟公庙      96.45    12989.32  12832.96 11589.40  1243.550049  -1.20
 钟公庙-鄞州区政府      90.70    10303.70  10213.35 11353.57 -1140.219971  -0.88
鄞州区政府-钱湖南路     127.25    19266.81  18611.95 20650.54 -2038.589966  -3.40
钱湖南路-南高教园区      97.30    15347.01  14851.69 14186.34   665.349976  -3.23
 南高教园区-下应路     110.80    21656.35  21138.24 16425.37  4712.870117  -2.39
   下应路-大洋江     105.55    12896.94  12573.05 11896.47   676.580017  -2.51
    大洋江-泗港      91.40    12053.27  11762.41 10263.78  1498.640015  -2.41
     泗港-曹隘     134.80    23129.68  22994.87 22045.52   949.349976  -0.58
     曹隘-柳隘     106.00    21350.68  21100.77 13421.45  7679.319824  -1.17
   柳隘-海晏北路      89.40    14467.67  14473.81 13434.79  1039.020020   0.04
 海晏北路-民安东路      83.90    15906.41  15685.10 12064.01  3621.090088  -1.39
 民安东路-会展中心      76.60    12285.91  12156.84 11035.34  1121.500000  -1.05
  会展中心-院士路     114.90    14892.68  14658.20 17164.13 -2505.929932  -1.57
   院士路-盎孟港      90.85    19915.72  19786.37 13280.31  6506.060059  -0.65
   盎孟港-三官堂     130.65    19445.71  18902.71 20391.62 -1488.910034  -2.79
   三官堂-兴庄路     101.45    10839.37  10637.52  8298.91  2338.620117  -1.86
  兴庄路-兴海南路      91.35    11733.56  11582.03  9893.01  1689.020020  -1.29
   兴海南路-梅堰      82.30    13074.04  12999.34 12666.34   333.000000  -0.57
    梅堰-永茂路     329.60    26228.95  26022.75 25668.35   354.399994  -0.79
  永茂路-镇海大道     142.60    17480.31  17122.83 20977.21 -3854.379883  -2.05
  镇海大道-骆驼桥     116.90    20094.22  19705.22 17648.13  2057.100098  -1.94

✅ 结果已保存至: D:\energy_conservation\full_line1_validation_results.csv

# finished: 2026-07-03T21:21:28
# return_code: 0
# elapsed_seconds: 1922.3
